Reference,Quantity,Value,Description,Manufacturer,Voltage Rating,Tolerance,Manufacturer part number,Distributor part number,Status,Digi-Key PN,Packaging,Stock,Minimum Order Quantity,Standard Pricing
"C1, C5, C8",3,100nF,CAP CER 0.1UF 50V X7R 0402,Murata Electronics,50V,20%,GRM155R71H104KE14D,490-10700-1-ND,OK,490-10700-1-ND,Cut Tape (CT),17507205,1,"CAD 0.15 (1-9), 0.043 (10-49), 0.0232 (50-99), 0.019 (100-499), 0.01356 (500-999), 0.01067 (1000-2499), 0.0097 (2500-4999), 0.00892 (5000+)"
"C2, C6",2,10uF,CAP CER 10UF 16V X5R 0805,Samsung Electro-Mechanics,16V,20%,CL21A106KOQNNNE,1276-1096-1-ND,OK,1276-1096-1-ND,Cut Tape (CT),6558375,1,"CAD 0.15 (1-9), 0.109 (10-49), 0.0594 (50-99), 0.0486 (100-499), 0.03464 (500-999), 0.02723 (1000+)"
"C3-C4, C7, C9-C10",5,100nF,CAP CER 0.1UF 16V X7R 0402,Samsung Electro-Mechanics,16V,20%,CL05B104KO5NNNC,1276-1001-1-ND,OK,1276-1001-1-ND,Cut Tape (CT),24554020,1,"CAD 0.15 (1-9), 0.035 (10-49), 0.0192 (50-99), 0.0155 (100-499), 0.01106 (500-999), 0.00871 (1000-2499), 0.00792 (2500-4999), 0.00728 (5000+)"
"D1, D7",2,SD103AWS,DIODE SCHOTTKY 40V 350MA SOD323,Vishay General Semiconductor - Diodes Division,40V,,SD103AWS-E3-08,SD103AWS-E3-08GICT-ND,OK,SD103AWS-E3-08GICT-ND,Cut Tape (CT),308862,1,"CAD 0.57 (1-9), 0.424 (10-99), 0.2403 (100-499), 0.15912 (500-999), 0.12199 (1000+)"
"D2, D6, D10-D11, D13-D17",9,Diode Zener,TVS DIODE 5VWM SOD323,Nexperia USA Inc.,6V,,"PESD5V0U1BA,115",1727-3934-1-ND,OK,1727-3934-1-ND,Cut Tape (CT),526890,1,"CAD 0.74 (1-9), 0.55 (10-99), 0.3117 (100-499), 0.2064 (500-999), 0.15824 (1000+)"
D3-D5,3,Diode Zener,TVS DIODE 24VWM 49VC SOD323,Bourns Inc.,24V,,CDSOD323-T24S,CDSOD323-T24SCT-ND,OK,CDSOD323-T24SCT-ND,Cut Tape (CT),23215,1,"CAD 0.97 (1-9), 0.858 (10-99), 0.6574 (100-499), 0.51968 (500-999), 0.41574 (1000+)"
D8-D9,2,ACDA03-41CGKWA-F01,"DISPLAY 7SEG 0.3"" DBL GRN 20SMD",Kingbright,,,ACDA03-41CGKWA-F01,754-1629-1-ND,OK,754-1629-1-ND,Cut Tape (CT),2991,1,"CAD 8.46 (1-9), 5.981 (10-99), 4.8978 (100+)"
FID1-FID3,3,Fiducial,,,,,,,No Distributor PN,,,,,
FIX1-FIX4,4,M5,TERM REDCUBE M5 SMD,Würth Elektronik,,,7466005R,732-10900-1-ND,OK,732-10900-1-ND,Cut Tape (CT),9122,1,"CAD 3.74 (1-9), 3.122 (10-49), 2.733 (50-99), 2.4887 (100+)"
Q1,1,MMBT3904-7-F,TRANS NPN 40V 0.2A SOT23-3,Diodes Incorporated,,,MMBT3904-7-F,MMBT3904-FDICT-ND,OK,MMBT3904-FDICT-ND,Cut Tape (CT),4618088,1,"CAD 0.2 (1-9), 0.183 (10-99), 0.0998 (100-499), 0.0614 (500-999), 0.04186 (1000+)"
Q2-Q5,4,MMBT3906-7-F,TRANS PNP 40V 0.2A SOT23-3,Diodes Incorporated,,,MMBT3906-7-F,MMBT3906-FDICT-ND,OK,MMBT3906-FDICT-ND,Cut Tape (CT),451374,1,"CAD 0.2 (1-9), 0.183 (10-99), 0.0998 (100-499), 0.0614 (500-999), 0.04186 (1000+)"
R1,1,500u,CSM2726Y 0R0005 1.0%,Vishay Foil Resistors (Division of Vishay Precision Group),,1%,Y14770R00050F9R,804-Y14770R00050F9RCT-ND,OK,804-Y14770R00050F9RCT-ND,Cut Tape (CT),5974,1,"CAD 1.66 (1-9), 1.472 (10-24), 1.3536 (25-49), 1.2346 (50-99), 1.0685 (100-249), 0.90224 (250-499), 0.7598 (500+)"
